a,p,q,f,l,T,m,M
3800412347,87818.60000000,0.00015000,5723749475,5723749475,1767229264276,False,True
3800412348,87818.60000000,0.00011000,5723749476,5723749476,1767229264295,False,True
3800412349,87818.60000000,0.00015000,5723749477,5723749477,1767229265125,False,True
3800412350,87818.60000000,0.00015000,5723749478,5723749478,1767229266325,False,True
3800412351,87818.60000000,0.00015000,5723749479,5723749479,1767229267078,False,True
3800412352,87818.60000000,0.00005000,5723749480,5723749480,1767229267479,False,True
3800412353,87818.60000000,0.00015000,5723749481,5723749481,1767229268639,False,True
3800412354,87818.60000000,0.03798000,5723749482,5723749482,1767229269260,False,True
3800412355,87818.60000000,0.00015000,5723749483,5723749483,1767229269652,False,True
3800412356,87818.59000000,0.00036000,5723749484,5723749484,1767229270001,True,True
3800412357,87818.59000000,0.00052000,5723749485,5723749485,1767229270024,True,True
3800412358,87818.60000000,1.06791000,5723749486,5723749539,1767229270259,False,True
3800412359,87818.60000000,0.00015000,5723749540,5723749540,1767229270406,False,True
3800412360,87818.59000000,0.00036000,5723749541,5723749541,1767229270448,True,True
3800412361,87818.60000000,0.00648000,5723749542,5723749543,1767229270844,False,True
3800412362,87818.59000000,0.00288000,5723749544,5723749544,1767229271150,True,True
3800412363,87818.59000000,0.05989000,5723749545,5723749545,1767229271440,True,True
3800412364,87818.60000000,0.00015000,5723749546,5723749546,1767229271473,False,True
3800412365,87818.60000000,0.00015000,5723749547,5723749548,1767229272647,False,True
3800412366,87818.60000000,0.00349000,5723749549,5723749549,1767229272874,False,True
3800412367,87818.60000000,0.00022000,5723749550,5723749550,1767229273201,False,True
3800412368,87818.60000000,0.00011000,5723749551,5723749551,1767229273376,False,True
3800412369,87818.60000000,0.00015000,5723749552,5723749552,1767229273902,False,True
3800412370,87818.60000000,0.00006000,5723749553,5723749553,1767229274257,False,True
3800412371,87818.60000000,0.00028000,5723749554,5723749554,1767229274507,False,True
3800412372,87818.60000000,0.00431000,5723749555,5723749555,1767229274718,False,True
3800412373,87818.60000000,0.00015000,5723749556,5723749556,1767229275277,False,True
3800412374,87818.60000000,0.00114000,5723749557,5723749557,1767229275293,False,True
3800412375,87818.59000000,0.00115000,5723749558,5723749558,1767229275807,True,True
3800412376,87818.59000000,0.00011000,5723749559,5723749559,1767229276005,True,True
3800412377,87818.60000000,0.00015000,5723749560,5723749560,1767229276269,False,True
3800412378,87818.60000000,0.00061000,5723749561,5723749561,1767229276293,False,True
3800412379,87818.60000000,0.02938000,5723749562,5723749562,1767229276761,False,True
3800412380,87818.60000000,0.00113000,5723749563,5723749563,1767229276836,False,True
3800412381,87818.60000000,0.00086000,5723749564,5723749564,1767229276877,False,True
3800412382,87818.60000000,0.00007000,5723749565,5723749565,1767229276893,False,True
3800412383,87818.60000000,0.00015000,5723749566,5723749566,1767229277335,False,True
3800412384,87818.59000000,0.00146000,5723749567,5723749567,1767229277633,True,True
3800412385,87818.59000000,0.00159000,5723749568,5723749568,1767229277887,True,True
3800412386,87818.60000000,0.00007000,5723749569,5723749569,1767229278507,False,True
3800412387,87818.60000000,0.00052000,5723749570,5723749570,1767229279026,False,True
3800412388,87818.60000000,0.00346000,5723749571,5723749571,1767229279044,False,True
3800412389,87818.60000000,0.00005000,5723749572,5723749572,1767229279799,False,True
3800412390,87818.60000000,0.14447000,5723749573,5723749629,1767229280115,False,True
3800412391,87818.61000000,0.00232000,5723749630,5723749653,1767229280115,False,True
3800412392,87818.67000000,0.00084000,5723749654,5723749657,1767229280115,False,True
3800412393,87819.36000000,0.00018000,5723749658,5723749660,1767229280115,False,True
3800412394,87819.37000000,0.12451000,5723749661,5723749704,1767229280515,False,True
3800412395,87819.38000000,0.00141000,5723749705,5723749726,1767229280515,False,True
3800412396,87819.52000000,0.00045000,5723749727,5723749732,1767229280515,False,True
3800412397,87819.88000000,0.00006000,5723749733,5723749733,1767229280515,False,True
3800412398,87820.00000000,0.00091000,5723749734,5723749741,1767229280515,False,True
3800412399,87820.01000000,0.00489000,5723749742,5723749747,1767229280515,False,True
3800412400,87820.26000000,0.00119000,5723749748,5723749751,1767229280515,False,True
3800412401,87820.76000000,0.00006000,5723749752,5723749752,1767229280515,False,True
3800412402,87820.89000000,0.00092000,5723749753,5723749757,1767229280515,False,True
3800412403,87821.18000000,0.00065000,5723749758,5723749758,1767229280515,False,True
3800412404,87821.90000000,0.00018000,5723749759,5723749761,1767229280515,False,True
3800412405,87821.95000000,0.00006000,5723749762,5723749762,1767229280515,False,True
3800412406,87822.52000000,0.00006000,5723749763,5723749763,1767229280515,False,True
3800412407,87822.61000000,0.00082000,5723749764,5723749765,1767229280515,False,True
3800412408,87823.82000000,0.00007000,5723749766,5723749766,1767229280515,False,True
3800412409,87824.00000000,0.00018000,5723749767,5723749769,1767229280515,False,True
3800412410,87824.18000000,0.00006000,5723749770,5723749770,1767229280515,False,True
3800412411,87824.29000000,0.00006000,5723749771,5723749771,1767229280515,False,True
3800412412,87824.61000000,0.00007000,5723749772,5723749772,1767229280515,False,True
3800412413,87824.74000000,0.00064000,5723749773,5723749776,1767229280515,False,True
3800412414,87824.78000000,0.00030000,5723749777,5723749781,1767229280515,False,True
3800412415,87825.56000000,0.00018000,5723749782,5723749784,1767229280515,False,True
3800412416,87825.57000000,0.00007000,5723749785,5723749785,1767229280520,False,True
3800412417,87825.57000000,0.00551000,5723749786,5723749833,1767229280629,False,True
3800412418,87825.57000000,0.00044000,5723749834,5723749834,1767229280631,False,True
