a,p,q,f,l,T,m,M
1850078793,2976.63000000,0.02800000,3402568446,3402568446,1767243660409,False,True
1850078794,2976.63000000,0.00240000,3402568447,3402568447,1767243661291,False,True
1850078795,2976.63000000,0.16790000,3402568448,3402568449,1767243663929,False,True
1850078796,2976.63000000,0.01460000,3402568450,3402568450,1767243664554,False,True
1850078797,2976.62000000,0.00440000,3402568451,3402568451,1767243664654,True,True
1850078798,2976.63000000,0.00330000,3402568452,3402568452,1767243664705,False,True
1850078799,2976.63000000,0.00180000,3402568453,3402568453,1767243667285,False,True
1850078800,2976.62000000,0.83070000,3402568454,3402568454,1767243673542,True,True
1850078801,2976.63000000,0.10000000,3402568455,3402568488,1767243675821,False,True
1850078802,2976.63000000,0.05320000,3402568489,3402568510,1767243675821,False,True
1850078803,2976.64000000,0.00360000,3402568511,3402568512,1767243675821,False,True
1850078804,2976.65000000,0.00180000,3402568513,3402568513,1767243675821,False,True
1850078805,2976.66000000,0.00520000,3402568514,3402568516,1767243675821,False,True
1850078806,2976.67000000,0.01020000,3402568517,3402568520,1767243675821,False,True
1850078807,2976.68000000,0.00350000,3402568521,3402568522,1767243675821,False,True
1850078808,2976.69000000,0.00520000,3402568523,3402568525,1767243675821,False,True
1850078809,2976.70000000,0.00380000,3402568526,3402568527,1767243675821,False,True
1850078810,2976.71000000,0.00180000,3402568528,3402568528,1767243675821,False,True
1850078811,2976.72000000,0.02120000,3402568529,3402568532,1767243675821,False,True
1850078812,2976.73000000,0.01060000,3402568533,3402568538,1767243675821,False,True
1850078813,2976.74000000,0.07990000,3402568539,3402568539,1767243675821,False,True
1850078814,2976.74000000,0.72300000,3402568540,3402568540,1767243675822,False,True
1850078815,2976.74000000,0.04800000,3402568541,3402568541,1767243675822,False,True
1850078816,2976.74000000,0.02900000,3402568542,3402568542,1767243675822,False,True
1850078817,2976.74000000,0.02200000,3402568543,3402568543,1767243675823,False,True
1850078818,2976.74000000,0.00700000,3402568544,3402568544,1767243675823,False,True
1850078819,2976.74000000,0.06440000,3402568545,3402568574,1767243675825,False,True
1850078820,2976.75000000,0.01620000,3402568575,3402568583,1767243675825,False,True
1850078821,2976.77000000,0.00540000,3402568584,3402568586,1767243675825,False,True
1850078822,2976.78000000,0.04240000,3402568587,3402568593,1767243675825,False,True
1850078823,2976.79000000,0.00260000,3402568594,3402568594,1767243675825,False,True
1850078824,2976.80000000,0.00740000,3402568595,3402568598,1767243675825,False,True
1850078825,2976.81000000,0.23260000,3402568599,3402568600,1767243675825,False,True
1850078826,2976.82000000,0.01530000,3402568601,3402568606,1767243675826,False,True
1850078827,2976.83000000,0.00540000,3402568607,3402568609,1767243675826,False,True
1850078828,2976.84000000,0.24800000,3402568610,3402568611,1767243675826,False,True
1850078829,2976.84000000,0.26870000,3402568612,3402568613,1767243675826,False,True
1850078830,2976.84000000,0.04360000,3402568614,3402568617,1767243675827,False,True
1850078831,2976.89000000,0.46030000,3402568618,3402568618,1767243675827,False,True
1850078832,2976.89000000,0.40310000,3402568619,3402568619,1767243675827,False,True
1850078833,2976.87000000,0.05940000,3402568620,3402568648,1767243675833,False,True
1850078834,2976.88000000,0.02700000,3402568649,3402568663,1767243675833,False,True
1850078835,2976.89000000,0.15970000,3402568664,3402568672,1767243675833,False,True
1850078836,2976.90000000,0.02260000,3402568673,3402568674,1767243675833,False,True
1850078837,2976.90000000,0.06360000,3402568675,3402568679,1767243675834,False,True
1850078838,2976.91000000,0.00360000,3402568680,3402568681,1767243675834,False,True
1850078839,2976.91000000,0.08420000,3402568682,3402568724,1767243675873,False,True
1850078840,2976.92000000,0.02420000,3402568725,3402568737,1767243675873,False,True
1850078841,2976.93000000,0.03470000,3402568738,3402568742,1767243675873,False,True
1850078842,2976.95000000,0.00860000,3402568743,3402568746,1767243675873,False,True
1850078843,2976.96000000,0.00350000,3402568747,3402568748,1767243675873,False,True
1850078844,2976.97000000,0.00360000,3402568749,3402568750,1767243675873,False,True
1850078845,2976.99000000,0.00540000,3402568751,3402568753,1767243675873,False,True
1850078846,2977.00000000,0.03580000,3402568754,3402568755,1767243675873,False,True
1850078847,2977.00000000,0.18340000,3402568756,3402568756,1767243677425,False,True
1850078848,2977.00000000,0.17600000,3402568757,3402568757,1767243678558,False,True
1850078849,2977.00000000,0.17600000,3402568758,3402568758,1767243678747,False,True
1850078850,2977.00000000,0.17600000,3402568759,3402568790,1767243678747,False,True
1850078851,2977.00000000,0.05830000,3402568791,3402568814,1767243678748,False,True
1850078852,2977.01000000,0.01800000,3402568815,3402568824,1767243678748,False,True
1850078853,2977.02000000,0.00180000,3402568825,3402568825,1767243678748,False,True
1850078854,2977.03000000,0.00180000,3402568826,3402568826,1767243678748,False,True
1850078855,2977.04000000,0.00180000,3402568827,3402568827,1767243678748,False,True
1850078856,2977.05000000,0.00180000,3402568828,3402568828,1767243678748,False,True
1850078857,2977.06000000,0.00180000,3402568829,3402568829,1767243678748,False,True
1850078858,2977.07000000,0.00180000,3402568830,3402568830,1767243678748,False,True
1850078859,2977.08000000,0.00520000,3402568831,3402568833,1767243678748,False,True
1850078860,2977.09000000,0.00180000,3402568834,3402568834,1767243678748,False,True
1850078861,2977.10000000,0.01710000,3402568835,3402568837,1767243678748,False,True
1850078862,2977.12000000,0.00340000,3402568838,3402568839,1767243678748,False,True
1850078863,2977.13000000,0.00880000,3402568840,3402568844,1767243678748,False,True
1850078864,2977.14000000,0.05260000,3402568845,3402568846,1767243678748,False,True
1850078865,2977.14000000,0.17600000,3402568847,3402568847,1767243678748,False,True
1850078866,2977.14000000,0.17600000,3402568848,3402568848,1767243678748,False,True
